##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	RS10252_S9_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70916612
Sequences flagged as poor quality	0
Sequence length	50
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
2111	37	0.05710278366785104
2111	38	0.026653021785783437
2111	39	0.045260831291059844
2111	40	0.01810511311354901
2111	41	0.034327035670585815
2111	42	0.014477548607942481
2111	43	0.026678548352805365
2111	44	0.027753324036218885
2111	45	0.06357388949090392
2111	46	0.03750974087116532
2111	47	0.06525456530079765
2111	48	-0.0035315259708426083
2111	49	0.032385682501669066
2111	50	0.019355009132823398
2112	1	0.02424593762911087
2112	2	0.022557160677436627
2112	3	0.061369451055597324
2112	4	-0.0018178538388795573
2112	5	0.020945367415116323
2112	6	0.05377122829499115
2112	7	0.05548054978546446
2112	8	0.009752314409759322
2112	9	0.053759990023785065
2112	10	0.033925294066357026
2112	11	0.013515107408764493
2112	12	0.0359433350743501
2112	13	0.03234040686697881
2112	14	0.032918971949769116
2112	15	0.02645082987513092
2112	16	0.051590523604389205
2112	17	0.020851455224850213
2112	18	0.05012244066727334
2112	19	0.017925880592009946
2112	20	0.04908784174121905
2112	21	0.06622316630602398
2112	22	0.03994591790569757
2112	23	0.0641482956429158
2112	24	0.06770213186541696
2112	25	0.02703446193599035
2112	26	0.07867882027841233
2112	27	0.06488758069433231
2112	28	0.08761070220929668
2112	29	0.019549514388735645
2112	30	0.04816486474584991
2112	31	0.06395527528663791
2112	32	0.03981068923979336
2112	33	0.07478396438731494
2112	34	0.07432997561007681
2112	35	0.041888092210193406
2112	36	0.06893569904450914
2112	37	0.047366546282930244
2112	38	0.026987548340123624
2112	39	0.0667906129070488
2112	40	0.08120909012945532
2112	41	0.03801239297983017
2112	42	0.04389932734665081
2112	43	0.05652967776755702
2112	44	0.08502789407017275
2112	45	0.05539964166167266
2112	46	0.0392564542663294
2112	47	0.08451446034648313
2112	48	0.02105226934908444
2112	49	0.0446537899410302
2112	50	0.03907402257794956
2113	1	0.052711958816303195
2113	2	0.024234287083096717
2113	3	0.01028730511173137
2113	4	0.0024531800921892
2113	5	0.039667225382835625
2113	6	0.05745683140880686
2113	7	0.04067384650419825
2113	8	-0.024351828163979405
2113	9	0.01874320084982628
2113	10	0.03632529691288511
2113	11	0.029112103139219414
2113	12	0.02836466361064538
2113	13	0.00534733684089872
2113	14	0.0265970496188217
2113	15	0.021030736755172086
2113	16	0.04699210622320038
2113	17	-0.011741662407260378
2113	18	0.050471613225830936
2113	19	0.030041057388608294
2113	20	0.030460085056873254
2113	21	0.05277376386293753
2113	22	0.007156195296190049
2113	23	0.04503563412509237
2113	24	0.04630907133920914
2113	25	0.025125215125463285
2113	26	0.025293438298035653
2113	27	0.03054544126786851
2113	28	0.03776382876034745
2113	29	0.011537730093536425
2113	30	0.012003406213871415
2113	31	-8.354788950200032E-4
2113	32	0.01338070838304617
2113	33	0.044682609260910056
2113	34	0.036650388193592676
2113	35	0.04764551734879774
2113	36	0.02235968972076563
2113	37	0.032910544570327716
2113	38	0.02083104965970506
2113	39	0.031005618573132665
2113	40	0.06284638377376695
2113	41	0.034545610740963184
